biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN26237503		paternal		Assembly of HG02027 paternal haplotype.		HG02027.hap1_for_genbank.fa.gz	2024-09	HG02027_pat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26237504		paternal		Assembly of HG02083 paternal haplotype.		HG02083.hap1_for_genbank.fa.gz	2024-09	HG02083_pat_hprc_f2	Hifiasm	0.19.7	65X	"PacBio, Oxford Nanopore"		
SAMN26237506		paternal		Assembly of HG02523 paternal haplotype.		HG02523.hap1_for_genbank.fa.gz	2024-09	HG02523_pat_hprc_f2	Hifiasm	0.19.7	66X	"PacBio, Oxford Nanopore"		
SAMN26267382		paternal		Assembly of HG02132 paternal haplotype.		HG02132.hap1_for_genbank.fa.gz	2024-09	HG02132_pat_hprc_f2	Hifiasm	0.19.7	67X	"PacBio, Oxford Nanopore"		
SAMN26237513		paternal		Assembly of HG03710 paternal haplotype.		HG03710.hap1_for_genbank.fa.gz	2024-09	HG03710_pat_hprc_f2	Hifiasm	0.19.7	77X	"PacBio, Oxford Nanopore"		
SAMN26237511		paternal		Assembly of HG03654 paternal haplotype.		HG03654.hap1_for_genbank.fa.gz	2024-09	HG03654_pat_hprc_f2	Hifiasm	0.19.7	66X	"PacBio, Oxford Nanopore"		
SAMN26237509		paternal		Assembly of HG02698 paternal haplotype.		HG02698.hap1_for_genbank.fa.gz	2024-09	HG02698_pat_hprc_f2	Hifiasm	0.19.7	71X	"PacBio, Oxford Nanopore"		
SAMN26267385		paternal		Assembly of HG03688 paternal haplotype.		HG03688.hap1_for_genbank.fa.gz	2024-09	HG03688_pat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN26267389		paternal		Assembly of HG04199 paternal haplotype.		HG04199.hap1_for_genbank.fa.gz	2024-09	HG04199_pat_hprc_f2	Hifiasm	0.19.7	68X	"PacBio, Oxford Nanopore"		
SAMN26267388		paternal		Assembly of HG04115 paternal haplotype.		HG04115.hap1_for_genbank.fa.gz	2024-09	HG04115_pat_hprc_f2	Hifiasm	0.19.7	69X	"PacBio, Oxford Nanopore"		
SAMN26237512		paternal		Assembly of HG03669 paternal haplotype.		HG03669.hap1_for_genbank.fa.gz	2024-09	HG03669_pat_hprc_f2	Hifiasm	0.19.7	72X	"PacBio, Oxford Nanopore"		
SAMN26237495		paternal		Assembly of HG01255 paternal haplotype.		HG01255.hap1_for_genbank.fa.gz	2024-09	HG01255_pat_hprc_f2	Hifiasm	0.19.7	70X	"PacBio, Oxford Nanopore"		
SAMN26237508		paternal		Assembly of HG02615 paternal haplotype.		HG02615.hap1_for_genbank.fa.gz	2024-09	HG02615_pat_hprc_f2	Hifiasm	0.19.7	71X	"PacBio, Oxford Nanopore"		
SAMN26237493		paternal		Assembly of HG00738 paternal haplotype.		HG00738.hap1_for_genbank.fa.gz	2024-09	HG00738_pat_hprc_f2	Hifiasm	0.19.7	69X	"PacBio, Oxford Nanopore"		
SAMN26267386		paternal		Assembly of HG03927 paternal haplotype.		HG03927.hap1_for_genbank.fa.gz	2024-09	HG03927_pat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
