biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN17861239		paternal		Assembly of HG02559 paternal haplotype.		HG02559.hap1_for_genbank.fa.gz	2024-09	HG02559_pat_hprc_f2	Hifiasm	0.19.7	67X	"PacBio, Oxford Nanopore"		
SAMN17861238		paternal		Assembly of HG02486 paternal haplotype.		HG02486.hap1_for_genbank.fa.gz	2024-09	HG02486_pat_hprc_f2	Hifiasm	0.19.7	64X	"PacBio, Oxford Nanopore"		
SAMN17861236		paternal		Assembly of HG01891 paternal haplotype.		HG01891.hap1_for_genbank.fa.gz	2024-09	HG01891_pat_hprc_f2	Hifiasm	0.19.7	65X	"PacBio, Oxford Nanopore"		
SAMN17861240		paternal		Assembly of HG02572 paternal haplotype.		HG02572.hap1_for_genbank.fa.gz	2024-09	HG02572_pat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861233		paternal		Assembly of HG01258 paternal haplotype.		HG01258.hap1_for_genbank.fa.gz	2024-09	HG01258_pat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861667		paternal		Assembly of HG02886 paternal haplotype.		HG02886.hap1_for_genbank.fa.gz	2024-09	HG02886_pat_hprc_f2	Hifiasm	0.19.7	55X	"PacBio, Oxford Nanopore"		
SAMN17861665		paternal		Assembly of HG02630 paternal haplotype.		HG02630.hap1_for_genbank.fa.gz	2024-09	HG02630_pat_hprc_f2	Hifiasm	0.19.7	58X	"PacBio, Oxford Nanopore"		
SAMN17861664		paternal		Assembly of HG02622 paternal haplotype.		HG02622.hap1_for_genbank.fa.gz	2024-09	HG02622_pat_hprc_f2	Hifiasm	0.19.7	57X	"PacBio, Oxford Nanopore"		
SAMN17861670		paternal		Assembly of HG03540 paternal haplotype.		HG03540.hap1_for_genbank.fa.gz	2024-09	HG03540_pat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861668		paternal		Assembly of HG03453 paternal haplotype.		HG03453.hap1_for_genbank.fa.gz	2024-09	HG03453_pat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
SAMN17861663		paternal		Assembly of HG02148 paternal haplotype.		HG02148.hap1_for_genbank.fa.gz	2024-09	HG02148_pat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN17861661		paternal		Assembly of HG01952 paternal haplotype.		HG01952.hap1_for_genbank.fa.gz	2024-09	HG01952_pat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861658		paternal		Assembly of HG01106 paternal haplotype.		HG01106.hap1_for_genbank.fa.gz	2024-09	HG01106_pat_hprc_f2	Hifiasm	0.19.7	56X	"PacBio, Oxford Nanopore"		
SAMN17861659		paternal		Assembly of HG01175 paternal haplotype.		HG01175.hap1_for_genbank.fa.gz	2024-09	HG01175_pat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN17861656		paternal		Assembly of HG00741 paternal haplotype.		HG00741.hap1_for_genbank.fa.gz	2024-09	HG00741_pat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN17861655		paternal		Assembly of HG00735 paternal haplotype.		HG00735.hap1_for_genbank.fa.gz	2024-09	HG00735_pat_hprc_f2	Hifiasm	0.19.7	53X	"PacBio, Oxford Nanopore"		
SAMN17861653		paternal		Assembly of HG00621 paternal haplotype.		HG00621.hap1_for_genbank.fa.gz	2024-09	HG00621_pat_hprc_f2	Hifiasm	0.19.7	58X	"PacBio, Oxford Nanopore"		
SAMN17861239		maternal		Assembly of HG02559 maternal haplotype.		HG02559.hap2_for_genbank.fa.gz	2024-09	HG02559_mat_hprc_f2	Hifiasm	0.19.7	67X	"PacBio, Oxford Nanopore"		
SAMN17861238		maternal		Assembly of HG02486 maternal haplotype.		HG02486.hap2_for_genbank.fa.gz	2024-09	HG02486_mat_hprc_f2	Hifiasm	0.19.7	64X	"PacBio, Oxford Nanopore"		
SAMN17861236		maternal		Assembly of HG01891 maternal haplotype.		HG01891.hap2_for_genbank.fa.gz	2024-09	HG01891_mat_hprc_f2	Hifiasm	0.19.7	65X	"PacBio, Oxford Nanopore"		
SAMN17861240		maternal		Assembly of HG02572 maternal haplotype.		HG02572.hap2_for_genbank.fa.gz	2024-09	HG02572_mat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861233		maternal		Assembly of HG01258 maternal haplotype.		HG01258.hap2_for_genbank.fa.gz	2024-09	HG01258_mat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861667		maternal		Assembly of HG02886 maternal haplotype.		HG02886.hap2_for_genbank.fa.gz	2024-09	HG02886_mat_hprc_f2	Hifiasm	0.19.7	55X	"PacBio, Oxford Nanopore"		
SAMN17861665		maternal		Assembly of HG02630 maternal haplotype.		HG02630.hap2_for_genbank.fa.gz	2024-09	HG02630_mat_hprc_f2	Hifiasm	0.19.7	58X	"PacBio, Oxford Nanopore"		
SAMN17861664		maternal		Assembly of HG02622 maternal haplotype.		HG02622.hap2_for_genbank.fa.gz	2024-09	HG02622_mat_hprc_f2	Hifiasm	0.19.7	57X	"PacBio, Oxford Nanopore"		
SAMN17861670		maternal		Assembly of HG03540 maternal haplotype.		HG03540.hap2_for_genbank.fa.gz	2024-09	HG03540_mat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861668		maternal		Assembly of HG03453 maternal haplotype.		HG03453.hap2_for_genbank.fa.gz	2024-09	HG03453_mat_hprc_f2	Hifiasm	0.19.7	60X	"PacBio, Oxford Nanopore"		
SAMN17861663		maternal		Assembly of HG02148 maternal haplotype.		HG02148.hap2_for_genbank.fa.gz	2024-09	HG02148_mat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN17861661		maternal		Assembly of HG01952 maternal haplotype.		HG01952.hap2_for_genbank.fa.gz	2024-09	HG01952_mat_hprc_f2	Hifiasm	0.19.7	59X	"PacBio, Oxford Nanopore"		
SAMN17861658		maternal		Assembly of HG01106 maternal haplotype.		HG01106.hap2_for_genbank.fa.gz	2024-09	HG01106_mat_hprc_f2	Hifiasm	0.19.7	56X	"PacBio, Oxford Nanopore"		
SAMN17861659		maternal		Assembly of HG01175 maternal haplotype.		HG01175.hap2_for_genbank.fa.gz	2024-09	HG01175_mat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN17861656		maternal		Assembly of HG00741 maternal haplotype.		HG00741.hap2_for_genbank.fa.gz	2024-09	HG00741_mat_hprc_f2	Hifiasm	0.19.7	62X	"PacBio, Oxford Nanopore"		
SAMN17861655		maternal		Assembly of HG00735 maternal haplotype.		HG00735.hap2_for_genbank.fa.gz	2024-09	HG00735_mat_hprc_f2	Hifiasm	0.19.7	53X	"PacBio, Oxford Nanopore"		
SAMN17861653		maternal		Assembly of HG00621 maternal haplotype.		HG00621.hap2_for_genbank.fa.gz	2024-09	HG00621_mat_hprc_f2	Hifiasm	0.19.7	58X	"PacBio, Oxford Nanopore"		
