biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN33758801		haplotype 1		Assembly of NA20905 haplotype 1.		NA20905.hap1_for_genbank.fa.gz	2024-09	NA20905_hap1_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN33758785		haplotype 1		Assembly of HG02165 haplotype 1.		HG02165.hap1_for_genbank.fa.gz	2024-09	HG02165_hap1_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN33758798		haplotype 1		Assembly of NA18983 haplotype 1.		NA18983.hap1_for_genbank.fa.gz	2024-09	NA18983_hap1_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN33758784		haplotype 1		Assembly of HG02040 haplotype 1.		HG02040.hap1_for_genbank.fa.gz	2024-09	HG02040_hap1_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN33621954		haplotype 1		Assembly of HG02965 haplotype 1.		HG02965.hap1_for_genbank.fa.gz	2024-09	HG02965_hap1_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN33758778		haplotype 1		Assembly of HG00099 haplotype 1.		HG00099.hap1_for_genbank.fa.gz	2024-09	HG00099_hap1_hprc_f2	Hifiasm	0.19.9	74X	"PacBio, Oxford Nanopore"		
SAMN33621962		haplotype 1		Assembly of NA20805 haplotype 1.		NA20805.hap1_for_genbank.fa.gz	2024-09	NA20805_hap1_hprc_f2	Hifiasm	0.19.9	58X	"PacBio, Oxford Nanopore"		
SAMN33621942		haplotype 1		Assembly of HG00323 haplotype 1.		HG00323.hap1_for_genbank.fa.gz	2024-09	HG00323_hap1_hprc_f2	Hifiasm	0.19.9	60X	"PacBio, Oxford Nanopore"		
SAMN33621961		haplotype 1		Assembly of NA18971 haplotype 1.		NA18971.hap1_for_genbank.fa.gz	2024-09	NA18971_hap1_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN33621951		haplotype 1		Assembly of HG02155 haplotype 1.		HG02155.hap1_for_genbank.fa.gz	2024-09	HG02155_hap1_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN33758792		haplotype 1		Assembly of HG03139 haplotype 1.		HG03139.hap1_for_genbank.fa.gz	2024-09	HG03139_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN33758791		haplotype 1		Assembly of HG03130 haplotype 1.		HG03130.hap1_for_genbank.fa.gz	2024-09	HG03130_hap1_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN33758793		haplotype 1		Assembly of HG03209 haplotype 1.		HG03209.hap1_for_genbank.fa.gz	2024-09	HG03209_hap1_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
