biosample_accession	sample_name	haplotype	bioproject_accession	bioproject_description	umbrella_bp	filename	assembly_date	assembly_name	assembly_method	assembly_method_version	genome_coverage	sequencing_technology	reference_genome	update_for
SAMN41021637	HG00126	haplotype 1		Assembly of HG00126 haplotype 1.		HG00126.hap1_for_genbank.fa.gz	2024-09	HG00126_hap1_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN41021641	HG00128	haplotype 1		Assembly of HG00128 haplotype 1.		HG00128.hap1_for_genbank.fa.gz	2024-09	HG00128_hap1_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN41021638	HG00133	haplotype 1		Assembly of HG00133 haplotype 1.		HG00133.hap1_for_genbank.fa.gz	2024-09	HG00133_hap1_hprc_f2	Hifiasm	0.19.9	66X	"PacBio, Oxford Nanopore"		
SAMN41021634	HG00146	haplotype 1		Assembly of HG00146 haplotype 1.		HG00146.hap1_for_genbank.fa.gz	2024-09	HG00146_hap1_hprc_f2	Hifiasm	0.19.9	73X	"PacBio, Oxford Nanopore"		
SAMN41021635	HG00232	haplotype 1		Assembly of HG00232 haplotype 1.		HG00232.hap1_for_genbank.fa.gz	2024-09	HG00232_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021639	HG00290	haplotype 1		Assembly of HG00290 haplotype 1.		HG00290.hap1_for_genbank.fa.gz	2024-09	HG00290_hap1_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021632	HG00320	haplotype 1		Assembly of HG00320 haplotype 1.		HG00320.hap1_for_genbank.fa.gz	2024-09	HG00320_hap1_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN41021616	HG00867	haplotype 1		Assembly of HG00867 haplotype 1.		HG00867.hap1_for_genbank.fa.gz	2024-09	HG00867_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021617	HG02178	haplotype 1		Assembly of HG02178 haplotype 1.		HG02178.hap1_for_genbank.fa.gz	2024-09	HG02178_hap1_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
SAMN41021615	HG02392	haplotype 1		Assembly of HG02392 haplotype 1.		HG02392.hap1_for_genbank.fa.gz	2024-09	HG02392_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021631	HG03270	haplotype 1		Assembly of HG03270 haplotype 1.		HG03270.hap1_for_genbank.fa.gz	2024-09	HG03270_hap1_hprc_f2	Hifiasm	0.19.9	65X	"PacBio, Oxford Nanopore"		
SAMN41021645	HG03583	haplotype 1		Assembly of HG03583 haplotype 1.		HG03583.hap1_for_genbank.fa.gz	2024-09	HG03583_hap1_hprc_f2	Hifiasm	0.19.9	57X	"PacBio, Oxford Nanopore"		
SAMN41021643	NA18505	haplotype 1		Assembly of NA18505 haplotype 1.		NA18505.hap1_for_genbank.fa.gz	2024-09	NA18505_hap1_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021619	NA18608	haplotype 1		Assembly of NA18608 haplotype 1.		NA18608.hap1_for_genbank.fa.gz	2024-09	NA18608_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021618	NA18620	haplotype 1		Assembly of NA18620 haplotype 1.		NA18620.hap1_for_genbank.fa.gz	2024-09	NA18620_hap1_hprc_f2	Hifiasm	0.19.9	68X	"PacBio, Oxford Nanopore"		
SAMN41021621	NA18952	haplotype 1		Assembly of NA18952 haplotype 1.		NA18952.hap1_for_genbank.fa.gz	2024-09	NA18952_hap1_hprc_f2	Hifiasm	0.19.9	76X	"PacBio, Oxford Nanopore"		
SAMN41021620	NA18974	haplotype 1		Assembly of NA18974 haplotype 1.		NA18974.hap1_for_genbank.fa.gz	2024-09	NA18974_hap1_hprc_f2	Hifiasm	0.19.9	82X	"PacBio, Oxford Nanopore"		
SAMN41021622	NA18976	haplotype 1		Assembly of NA18976 haplotype 1.		NA18976.hap1_for_genbank.fa.gz	2024-09	NA18976_hap1_hprc_f2	Hifiasm	0.19.9	73X	"PacBio, Oxford Nanopore"		
SAMN41021642	NA19036	haplotype 1		Assembly of NA19036 haplotype 1.		NA19036.hap1_for_genbank.fa.gz	2024-09	NA19036_hap1_hprc_f2	Hifiasm	0.19.9	64X	"PacBio, Oxford Nanopore"		
SAMN41021623	NA20870	haplotype 1		Assembly of NA20870 haplotype 1.		NA20870.hap1_for_genbank.fa.gz	2024-09	NA20870_hap1_hprc_f2	Hifiasm	0.19.9	70X	"PacBio, Oxford Nanopore"		
SAMN41021624	NA21110	haplotype 1		Assembly of NA21110 haplotype 1.		NA21110.hap1_for_genbank.fa.gz	2024-09	NA21110_hap1_hprc_f2	Hifiasm	0.19.9	62X	"PacBio, Oxford Nanopore"		
SAMN41021626	NA18508	haplotype 1		Assembly of NA18508 haplotype 1.		NA18508.hap1_for_genbank.fa.gz	2024-09	NA18508_hap1_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021612	NA19700	haplotype 1		Assembly of NA19700 haplotype 1.		NA19700.hap1_for_genbank.fa.gz	2024-09	NA19700_hap1_hprc_f2	Hifiasm	0.19.9	61X	"PacBio, Oxford Nanopore"		
SAMN41021627	NA21093	haplotype 1		Assembly of NA21093 haplotype 1.		NA21093.hap1_for_genbank.fa.gz	2024-09	NA21093_hap1_hprc_f2	Hifiasm	0.19.9	63X	"PacBio, Oxford Nanopore"		
